Started,Recovered,Drawdown,Days
2025-07-21,2025-08-05,-1.52050659795252,15
2025-10-03,2025-10-24,-1.490968672418147,21
2025-08-29,2025-09-05,-1.0355704678660649,7
2025-12-01,2025-12-02,-0.8440269517465904,1
2025-07-11,2025-07-17,-0.711033692077756,6
2025-09-25,2025-10-01,-0.688472629679826,6
2025-06-17,2025-06-24,-0.5319678957093621,7
2025-06-12,2025-06-12,-0.4783440021903784,0
2025-07-07,2025-07-08,-0.4177278059072087,1
2025-11-20,2025-11-21,-0.2600423676839325,1
2025-11-13,2025-11-13,-0.24522900253376445,0
2025-09-10,2025-09-12,-0.18920415879953856,2
2025-12-19,2025-12-22,-0.1646803419521503,3
2025-12-12,2025-12-12,-0.159533184153271,0
2025-11-17,2025-11-18,-0.14889216241524839,1
2025-08-20,2025-08-21,-0.12928987262862401,1
2025-12-04,2025-12-04,-0.10060347988135598,0
2025-08-26,2025-08-26,-0.09431854762217418,0
2025-06-05,2025-06-05,-0.011705073593992754,0
