Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy
TEAM,20922.81069499997,1743.5675579166643,12,SHORT
NOW,12646.88537999994,436.0994958620669,29,SHORT
MELI,12117.897299999919,448.8110111111081,27,SHORT
AXON,11136.705854999866,484.2046023912985,23,SHORT
VRSK,9672.525705,1074.7250783333334,9,SHORT
CSIQ,9094.429999999977,4547.214999999988,2,SHORT
SNPS,8750.53612999995,380.45809260869345,23,SHORT
LLY,8683.251525000016,271.3516101562505,32,SHORT
LULU,8447.840134999999,1206.8343049999999,7,SHORT
ORCL,8361.951499999972,522.6219687499982,16,SHORT
FICO,8226.786050000008,1175.255150000001,7,SHORT
CI,8204.247964999955,911.5831072222172,9,SHORT
COST,8192.581479999983,199.81906048780445,41,SHORT
SPOT,8027.683270000014,200.69208175000034,40,SHORT
ISRG,7940.990194999965,294.1107479629617,27,SHORT
URI,7437.502230000043,437.50013117647313,17,SHORT
CRWD,7418.974604999996,285.34517711538444,26,SHORT
BKNG,7226.30970000002,656.9372454545472,11,SHORT
TSLA,6261.17654500001,272.2250671739135,23,SHORT
MSTR,6122.44389499997,226.7571812962952,27,SHORT
