LONG Weight (%),SHORT Weight (%),Expected Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio
0.0,100.0,70.6112709351709,4.489074716222184,15.729582463843318,-0.2625938132771011,268.8992175937467
5.0,95.0,71.77308711450287,4.2649772169271465,16.828480778196123,-0.325489452510872,220.50818102041418
10.0,90.0,72.93490329383486,4.040891714658582,18.049210036799312,-0.388385091744643,187.79017229062026
15.000000000000002,85.0,74.09671947316684,3.8168203224531725,19.413206075559486,-0.4512807309784139,164.19207465942327
20.0,80.0,75.25853565249882,3.592765680335014,20.947242973407942,-0.5141763702121849,146.36716117748065
25.0,75.0,76.4203518318308,3.368731130455664,22.68520367830423,-0.5770720094459558,132.4277569885977
30.000000000000004,70.0,77.58216801116279,3.1447209670200453,24.670604745158062,-0.6399676486797268,121.22826547750847
35.0,64.99999999999999,78.74398419049477,2.9207408010873364,26.96027807780132,-0.7028632879134977,112.03314434625285
40.0,60.0,79.90580036982676,2.696798106915591,29.629878545568037,-0.7657589271472687,104.34850647775667
45.0,55.00000000000001,81.06761654915874,2.472903064698886,32.78236729389552,-0.8286545663810396,97.83041068994903
50.0,50.0,82.22943272849072,2.2490699057470804,36.561528175877804,-0.8915502056148106,92.23197102151474
55.00000000000001,44.99999999999999,83.3912489078227,2.0253191477107078,41.174374419993455,-0.9544458448485816,87.37137822738632
60.00000000000001,39.99999999999999,84.55306508715469,1.8016814909512968,46.93008476348961,-1.0173414840823525,83.11178341795627
65.0,35.0,85.71488126648667,1.5782050168453268,54.31162640568848,-1.0802371233161234,79.3482092185077
70.0,29.999999999999993,86.87669744581866,1.3549694797896517,64.11708805375129,-1.1431327625498944,75.99878184930138
75.0,25.0,88.03851362515064,1.1321174156126794,77.76447249290477,-1.2060284017836653,72.9987067426815
80.0,19.999999999999996,89.20032980448264,0.9099306181858231,98.02981460534437,-1.2689240410174363,70.2960357918358
85.00000000000001,14.999999999999991,90.36214598381461,0.689052938965467,131.1396278484537,-1.3318196802512072,67.84863395829272
90.0,9.999999999999998,91.52396216314659,0.47132845351015257,194.18297682122673,-1.3947153194849782,65.62196663684983
95.0,4.999999999999993,92.68577834247857,0.2646571462968778,350.2107524370748,-1.4576109587187491,63.587459869230166
100.0,0.0,93.84759452181056,0.13591407097925087,690.4921164206587,-1.52050659795252,61.72126753555928
