Symbol,Total_PnL,Avg_PnL,Trade_Count,Market_Cap_Tier,Liquidity_Score,Volatility_Ann
MU,-3543.282455000011,-885.8206137500027,4,Mega-cap ($200B+),50.00000000000001,11.398888954420565
ALB,-2909.907969999997,-1454.9539849999987,2,Large-cap ($10B-$200B),50.0,3.3817213246399342
AVGO,-2359.447630000024,-262.1608477777804,9,Large-cap ($10B-$200B),50.0,13.237191613817734
W,-2005.1606399999976,-2005.1606399999976,1,Mid-cap ($2B-$10B),50.0,0.0
CGNX,-1980.3684250000167,-990.1842125000086,2,Mid-cap ($2B-$10B),50.0,16.282734165010787
CDW,-1895.5636900000204,-631.8545633333401,3,Large-cap ($10B-$200B),50.0,9.47372382959084
PLTR,-1781.5184799999906,-254.50263999999865,7,Large-cap ($10B-$200B),50.0,9.769855657457942
DRI,-1766.6600649999932,-883.3300324999966,2,Large-cap ($10B-$200B),50.0,5.394198773380013
AMAT,-1670.3137100000151,-835.1568550000076,2,Large-cap ($10B-$200B),50.0,6.9840717108594745
DXCM,-1567.772190000006,-1567.772190000006,1,Mid-cap ($2B-$10B),50.0,0.0
COF,-1443.8827100000042,-1443.8827100000042,1,Large-cap ($10B-$200B),50.0,0.0
DVN,-1344.2237799999998,-448.07459333333327,3,Mid-cap ($2B-$10B),50.0,3.155299630211919
AMD,-1325.1137950000038,-132.51137950000037,10,Large-cap ($10B-$200B),50.0,14.44088068064013
UBER,-1180.8050999999955,-590.4025499999979,2,Mid-cap ($2B-$10B),50.0,0.5721518182228168
EG,-1170.154304999974,-195.0257174999957,6,Large-cap ($10B-$200B),50.0,4.020353690700229
PEP,-1085.7610049999853,-361.9203349999951,3,Large-cap ($10B-$200B),50.00000000000001,7.465938499371304
PANW,-1007.5111700000064,-251.8777925000016,4,Large-cap ($10B-$200B),49.99999999999999,3.1136380115442064
ANET,-956.3018000000028,-956.3018000000028,1,Large-cap ($10B-$200B),50.0,0.0
TTWO,-880.4888399999469,-97.83209333332744,9,Large-cap ($10B-$200B),49.99999999999999,7.965301239285945
MAR,-862.7703949999581,-215.69259874998951,4,Large-cap ($10B-$200B),50.0,6.50327346427453
